contract_code,expiry
MO2309-P-5800,2023-09-15
MO2309-P-6000,2023-09-15
MO2309-P-6200,2023-09-15
MO2309-P-6400,2023-09-15
MO2309-P-6600,2023-09-15
MO2309-P-6800,2023-09-15
MO2309-P-7000,2023-09-15
MO2309-P-7200,2023-09-15
MO2309-P-7400,2023-09-15
MO2309-P-7600,2023-09-15
