pair_id,event_day,side,eligible,reason
000688.SH:R1_A:33433:33432,2021-02-19,SHORT,True,complete_common_path
000688.SH:R1_A:33477:41137,2021-02-19,SHORT,True,complete_common_path
000688.SH:R1_A:33872:33871,2021-02-23,SHORT,True,complete_common_path
000688.SH:R1_A:34248:34247,2021-02-24,SHORT,True,complete_common_path
000688.SH:R1_A:34286:62820,2021-02-24,SHORT,True,complete_common_path
000688.SH:R1_A:34351:41805,2021-02-25,SHORT,True,complete_common_path
000688.SH:R1_A:34422:71129,2021-02-25,SHORT,True,complete_common_path
000688.SH:R1_A:34607:55005,2021-02-26,SHORT,True,complete_common_path
000688.SH:R1_A:34757:71727,2021-02-26,SHORT,True,complete_common_path
000688.SH:R1_A:34820:54969,2021-03-01,LONG,True,complete_common_path
000688.SH:R1_A:34904:71141,2021-03-01,LONG,True,complete_common_path
000688.SH:R1_A:35060:40827,2021-03-02,LONG,True,complete_common_path
000688.SH:R1_A:35779:35778,2021-03-05,SHORT,True,complete_common_path
000688.SH:R1_A:36294:36293,2021-03-09,SHORT,True,complete_common_path
000688.SH:R1_A:36603:36602,2021-03-10,SHORT,True,complete_common_path
000688.SH:R1_A:36883:36882,2021-03-11,LONG,True,complete_common_path
000688.SH:R1_A:37453:37452,2021-03-16,SHORT,True,complete_common_path
000688.SH:R1_A:37548:47620,2021-03-16,SHORT,True,complete_common_path
000688.SH:R1_A:37748:48082,2021-03-17,LONG,True,complete_common_path
000688.SH:R1_A:38010:38009,2021-03-18,LONG,True,complete_common_path
000688.SH:R1_A:38163:71308,2021-03-19,LONG,True,complete_common_path
000688.SH:R1_A:38404:80896,2021-03-22,SHORT,True,complete_common_path
000688.SH:R1_A:38432:30029,2021-03-22,SHORT,True,complete_common_path
000688.SH:R1_A:38492:29623,2021-03-22,LONG,True,complete_common_path
000688.SH:R1_A:38779:38777,2021-03-23,LONG,True,complete_common_path
000688.SH:R1_A:38851:35754,2021-03-23,LONG,True,complete_common_path
000688.SH:R1_A:38894:45367,2021-03-24,SHORT,True,complete_common_path
000688.SH:R1_A:38968:41843,2021-03-24,SHORT,True,complete_common_path
000688.SH:R1_A:39108:41974,2021-03-24,SHORT,True,complete_common_path
000688.SH:R1_A:39137:37219,2021-03-25,SHORT,True,complete_common_path
000688.SH:R1_A:39614:39613,2021-03-29,LONG,True,complete_common_path
000688.SH:R1_A:39811:41260,2021-03-29,LONG,True,complete_common_path
000688.SH:R1_A:39855:47046,2021-03-30,LONG,True,complete_common_path
000688.SH:R1_A:39875:76354,2021-03-30,LONG,True,complete_common_path
000688.SH:R1_A:39922:35350,2021-03-30,SHORT,True,complete_common_path
000688.SH:R1_A:40090:75124,2021-03-31,SHORT,True,complete_common_path
000688.SH:R1_A:40141:73281,2021-03-31,SHORT,True,complete_common_path
000688.SH:R1_A:40252:62795,2021-03-31,SHORT,True,complete_common_path
000688.SH:R1_A:40847:40846,2021-04-06,LONG,True,complete_common_path
000688.SH:R1_A:42241:29527,2021-04-14,LONG,True,complete_common_path
000688.SH:R1_A:42766:42765,2021-04-16,LONG,True,complete_common_path
000688.SH:R1_A:42970:58571,2021-04-19,LONG,True,complete_common_path
000688.SH:R1_A:43132:73852,2021-04-19,LONG,True,complete_common_path
000688.SH:R1_A:43223:71296,2021-04-20,LONG,True,complete_common_path
000688.SH:R1_A:43255:71337,2021-04-20,LONG,True,complete_common_path
000688.SH:R1_A:43906:43904,2021-04-22,LONG,True,complete_common_path
000688.SH:R1_A:44187:44186,2021-04-26,LONG,True,complete_common_path
000688.SH:R1_A:44353:71219,2021-04-26,LONG,True,complete_common_path
000688.SH:R1_A:44419:71292,2021-04-27,LONG,True,complete_common_path
000688.SH:R1_A:44645:37201,2021-04-28,SHORT,True,complete_common_path
000688.SH:R1_A:44699:28874,2021-04-28,LONG,True,complete_common_path
000688.SH:R1_A:44750:28898,2021-04-28,LONG,True,complete_common_path
000688.SH:R1_A:44820:71699,2021-04-28,LONG,True,complete_common_path
000688.SH:R1_A:44921:31716,2021-04-29,LONG,True,complete_common_path
000688.SH:R1_A:45508:45507,2021-05-06,SHORT,True,complete_common_path
000688.SH:R1_A:45645:45410,2021-05-07,SHORT,True,complete_common_path
000688.SH:R1_A:45862:42017,2021-05-10,SHORT,True,complete_common_path
000688.SH:R1_A:45952:78809,2021-05-10,SHORT,True,complete_common_path
000688.SH:R1_A:46008:56575,2021-05-10,LONG,True,complete_common_path
000688.SH:R1_A:46091:37215,2021-05-11,SHORT,True,complete_common_path
000688.SH:R1_A:46110:37230,2021-05-11,SHORT,True,complete_common_path
000688.SH:R1_A:46568:46567,2021-05-13,LONG,True,complete_common_path
000688.SH:R1_A:46742:29228,2021-05-13,LONG,True,complete_common_path
000688.SH:R1_A:47070:47069,2021-05-17,LONG,True,complete_common_path
000688.SH:R1_A:47113:54067,2021-05-17,LONG,True,complete_common_path
000688.SH:R1_A:47196:43847,2021-05-17,LONG,True,complete_common_path
000688.SH:R1_A:47781:47780,2021-05-20,LONG,True,complete_common_path
000688.SH:R1_A:48377:48373,2021-05-24,SHORT,True,complete_common_path
000688.SH:R1_A:48854:48853,2021-05-26,LONG,True,complete_common_path
000688.SH:R1_A:49020:80954,2021-05-27,LONG,True,complete_common_path
000688.SH:R1_A:49071:81214,2021-05-27,LONG,True,complete_common_path
000688.SH:R1_A:49182:47507,2021-05-27,LONG,True,complete_common_path
000688.SH:R1_A:49414:81091,2021-05-28,LONG,True,complete_common_path
000688.SH:R1_A:49478:32688,2021-05-31,LONG,True,complete_common_path
000688.SH:R1_A:49682:76334,2021-06-01,LONG,True,complete_common_path
000688.SH:R1_A:49746:37989,2021-06-01,LONG,True,complete_common_path
000688.SH:R1_A:49922:47520,2021-06-02,LONG,True,complete_common_path
000688.SH:R1_A:49959:29315,2021-06-02,LONG,True,complete_common_path
000688.SH:R1_A:50073:34243,2021-06-02,SHORT,True,complete_common_path
000688.SH:R1_A:50215:55005,2021-06-03,SHORT,True,complete_common_path
000688.SH:R1_A:50522:50521,2021-06-04,LONG,True,complete_common_path
000688.SH:R1_A:50660:41300,2021-06-07,LONG,True,complete_common_path
000688.SH:R1_A:50883:51362,2021-06-08,SHORT,True,complete_common_path
000688.SH:R1_A:51001:79329,2021-06-08,SHORT,True,complete_common_path
000688.SH:R1_A:51051:78896,2021-06-08,SHORT,True,complete_common_path
000688.SH:R1_A:51564:51561,2021-06-10,LONG,True,complete_common_path
000688.SH:R1_A:51981:51979,2021-06-15,LONG,True,complete_common_path
000688.SH:R1_A:52176:34190,2021-06-16,SHORT,True,complete_common_path
000688.SH:R1_A:52222:55578,2021-06-16,SHORT,True,complete_common_path
000688.SH:R1_A:52290:37438,2021-06-16,SHORT,True,complete_common_path
000688.SH:R1_A:52325:64323,2021-06-17,SHORT,True,complete_common_path
000688.SH:R1_A:52421:48838,2021-06-17,LONG,True,complete_common_path
000688.SH:R1_A:52554:29249,2021-06-17,LONG,True,complete_common_path
000688.SH:R1_A:52570:57867,2021-06-18,LONG,True,complete_common_path
000688.SH:R1_A:52597:57876,2021-06-18,LONG,True,complete_common_path
000688.SH:R1_A:52647:45208,2021-06-18,LONG,True,complete_common_path
000688.SH:R1_A:52664:45229,2021-06-18,LONG,True,complete_common_path
000688.SH:R1_A:52682:54851,2021-06-18,SHORT,True,complete_common_path
000688.SH:R1_A:52829:56670,2021-06-21,LONG,True,complete_common_path
000688.SH:R1_A:52922:54130,2021-06-21,LONG,True,complete_common_path
000688.SH:R1_A:53066:71546,2021-06-22,LONG,True,complete_common_path
000688.SH:R1_A:53161:39481,2021-06-22,SHORT,True,complete_common_path
000688.SH:R1_A:53387:71609,2021-06-23,LONG,True,complete_common_path
000688.SH:R1_A:53450:31592,2021-06-23,LONG,True,complete_common_path
000688.SH:R1_A:53585:75185,2021-06-24,SHORT,True,complete_common_path
000688.SH:R1_A:53632:75214,2021-06-24,SHORT,True,complete_common_path
000688.SH:R1_A:53662:55581,2021-06-24,SHORT,True,complete_common_path
000688.SH:R1_A:53767:28813,2021-06-25,SHORT,True,complete_common_path
000688.SH:R1_A:53790:41549,2021-06-25,SHORT,True,complete_common_path
000688.SH:R1_A:53817:36038,2021-06-25,LONG,True,complete_common_path
000688.SH:R1_A:54145:54144,2021-06-28,LONG,True,complete_common_path
000688.SH:R1_A:54601:54600,2021-06-30,LONG,True,complete_common_path
000688.SH:R1_A:55006:55004,2021-07-02,SHORT,True,complete_common_path
000688.SH:R1_A:55586:55585,2021-07-06,SHORT,True,complete_common_path
000688.SH:R1_A:55681:28800,2021-07-07,SHORT,True,complete_common_path
000688.SH:R1_A:55929:55927,2021-07-08,LONG,True,complete_common_path
000688.SH:R1_A:55948:57868,2021-07-08,LONG,True,complete_common_path
000688.SH:R1_A:55996:37288,2021-07-08,LONG,True,complete_common_path
000688.SH:R1_A:56017:54570,2021-07-08,LONG,True,complete_common_path
000688.SH:R1_A:56043:51980,2021-07-08,LONG,True,complete_common_path
000688.SH:R1_A:56095:56578,2021-07-08,LONG,True,complete_common_path
000688.SH:R1_A:56141:55411,2021-07-08,SHORT,True,complete_common_path
000688.SH:R1_A:56218:55005,2021-07-09,SHORT,True,complete_common_path
000688.SH:R1_A:56700:56699,2021-07-13,SHORT,True,complete_common_path
000688.SH:R1_A:56761:55585,2021-07-13,SHORT,True,complete_common_path
000688.SH:R1_A:56895:37208,2021-07-14,SHORT,True,complete_common_path
000688.SH:R1_A:56934:50458,2021-07-14,SHORT,True,complete_common_path
000688.SH:R1_A:56977:41369,2021-07-14,SHORT,True,complete_common_path
000688.SH:R1_A:57132:45388,2021-07-15,SHORT,True,complete_common_path
000688.SH:R1_A:57161:34114,2021-07-15,SHORT,True,complete_common_path
000688.SH:R1_A:57223:41146,2021-07-15,SHORT,True,complete_common_path
000688.SH:R1_A:57369:71531,2021-07-16,LONG,True,complete_common_path
000688.SH:R1_A:57557:71706,2021-07-16,LONG,True,complete_common_path
000688.SH:R1_A:57610:35772,2021-07-19,SHORT,True,complete_common_path
000688.SH:R1_A:58262:58261,2021-07-21,LONG,True,complete_common_path
000688.SH:R1_A:58581:58580,2021-07-23,LONG,True,complete_common_path
000688.SH:R1_A:58776:51335,2021-07-23,SHORT,True,complete_common_path
000688.SH:R1_A:58865:51420,2021-07-26,SHORT,True,complete_common_path
000688.SH:R1_A:58922:41901,2021-07-26,SHORT,True,complete_common_path
000688.SH:R1_A:58975:75511,2021-07-26,SHORT,True,complete_common_path
000688.SH:R1_A:59049:51842,2021-07-27,LONG,True,complete_common_path
000688.SH:R1_A:59071:55472,2021-07-27,LONG,True,complete_common_path
000688.SH:R1_A:59101:55504,2021-07-27,LONG,True,complete_common_path
000688.SH:R1_A:59149:56509,2021-07-27,LONG,True,complete_common_path
000688.SH:R1_A:59206:29199,2021-07-27,LONG,True,complete_common_path
000688.SH:R1_A:59269:37426,2021-07-27,SHORT,True,complete_common_path
000688.SH:R1_A:59309:36283,2021-07-28,SHORT,True,complete_common_path
000688.SH:R1_A:59642:59641,2021-07-29,LONG,True,complete_common_path
000688.SH:R1_A:59742:29489,2021-07-29,LONG,True,complete_common_path
000688.SH:R1_A:59790:42030,2021-07-30,LONG,True,complete_common_path
000688.SH:R1_A:59811:51876,2021-07-30,SHORT,True,complete_common_path
000688.SH:R1_A:59887:54120,2021-07-30,LONG,True,complete_common_path
000688.SH:R1_A:59916:56553,2021-07-30,LONG,True,complete_common_path
000688.SH:R1_A:60005:71785,2021-08-02,SHORT,True,complete_common_path
000688.SH:R1_A:60017:55457,2021-08-02,LONG,True,complete_common_path
000688.SH:R1_A:60247:58571,2021-08-03,LONG,True,complete_common_path
000688.SH:R1_A:60289:37245,2021-08-03,LONG,True,complete_common_path
000688.SH:R1_A:60331:41369,2021-08-03,SHORT,True,complete_common_path
000688.SH:R1_A:60383:48844,2021-08-03,LONG,True,complete_common_path
000688.SH:R1_A:60487:83293,2021-08-04,SHORT,True,complete_common_path
000688.SH:R1_A:60527:39401,2021-08-04,SHORT,True,complete_common_path
000688.SH:R1_A:60567:57914,2021-08-04,LONG,True,complete_common_path
000688.SH:R1_A:60649:71195,2021-08-04,LONG,True,complete_common_path
000688.SH:R1_A:60682:73872,2021-08-04,LONG,True,complete_common_path
000688.SH:R1_A:60828:59611,2021-08-05,LONG,True,complete_common_path
000688.SH:R1_A:60914:41219,2021-08-05,LONG,True,complete_common_path
000688.SH:R1_A:60968:57863,2021-08-06,LONG,True,complete_common_path
000688.SH:R1_A:61105:51495,2021-08-06,SHORT,True,complete_common_path
000688.SH:R1_A:61210:33866,2021-08-09,SHORT,True,complete_common_path
000688.SH:R1_A:61228:33868,2021-08-09,SHORT,True,complete_common_path
000688.SH:R1_A:61453:71532,2021-08-10,LONG,True,complete_common_path
000688.SH:R1_A:61488:57882,2021-08-10,LONG,True,complete_common_path
000688.SH:R1_A:61681:41528,2021-08-11,SHORT,True,complete_common_path
000688.SH:R1_A:61794:35379,2021-08-11,SHORT,True,complete_common_path
000688.SH:R1_A:61882:41221,2021-08-11,LONG,True,complete_common_path
000688.SH:R1_A:62014:38738,2021-08-12,LONG,True,complete_common_path
000688.SH:R1_A:62175:51373,2021-08-13,SHORT,True,complete_common_path
000688.SH:R1_A:62224:41828,2021-08-13,SHORT,True,complete_common_path
000688.SH:R1_A:62300:54842,2021-08-13,SHORT,True,complete_common_path
000688.SH:R1_A:62377:54937,2021-08-13,SHORT,False,event_missing_or_zero_volume_minute
000688.SH:R1_A:62417:41772,2021-08-16,SHORT,False,event_missing_or_zero_volume_minute
000688.SH:R1_A:62461:35345,2021-08-16,SHORT,False,event_missing_or_zero_volume_minute
000688.SH:R1_A:62524:56544,2021-08-16,LONG,False,event_missing_or_zero_volume_minute
000688.SH:R1_A:62835:62823,2021-08-17,SHORT,True,complete_common_path
000688.SH:R1_A:62859:83730,2021-08-17,SHORT,True,complete_common_path
000688.SH:R1_A:62888:65769,2021-08-18,SHORT,True,complete_common_path
000688.SH:R1_A:62906:35308,2021-08-18,SHORT,True,complete_common_path
000688.SH:R1_A:62949:79279,2021-08-18,SHORT,True,complete_common_path
000688.SH:R1_A:63003:37320,2021-08-18,LONG,True,complete_common_path
000688.SH:R1_A:63105:47021,2021-08-18,LONG,True,complete_common_path
000688.SH:R1_A:63143:30024,2021-08-19,SHORT,True,complete_common_path
000688.SH:R1_A:63368:39613,2021-08-20,LONG,True,complete_common_path
000688.SH:R1_A:63446:48060,2021-08-20,LONG,True,complete_common_path
000688.SH:R1_A:63572:55409,2021-08-20,SHORT,True,complete_common_path
000688.SH:R1_A:63851:63850,2021-08-24,LONG,True,complete_common_path
000688.SH:R1_A:63965:70222,2021-08-24,LONG,True,complete_common_path
000688.SH:R1_A:64324:83766,2021-08-26,SHORT,True,complete_common_path
000688.SH:R1_A:64347:37209,2021-08-26,SHORT,True,complete_common_path
000688.SH:R1_A:64567:75614,2021-08-27,SHORT,True,complete_common_path
000688.SH:R1_A:64803:41771,2021-08-30,SHORT,True,complete_common_path
000688.SH:R1_A:64915:56518,2021-08-30,LONG,True,complete_common_path
000688.SH:R1_A:65240:65239,2021-08-31,SHORT,True,complete_common_path
000688.SH:R1_A:65304:37214,2021-09-01,SHORT,True,complete_common_path
000688.SH:R1_A:65347:75184,2021-09-01,SHORT,True,complete_common_path
000688.SH:R1_A:65491:41249,2021-09-01,LONG,True,complete_common_path
000688.SH:R1_A:65785:65784,2021-09-03,SHORT,True,complete_common_path
000688.SH:R1_A:65905:34215,2021-09-03,SHORT,True,complete_common_path
000688.SH:R1_A:66050:30041,2021-09-06,LONG,True,complete_common_path
000688.SH:R1_A:66129:56520,2021-09-06,LONG,True,complete_common_path
000688.SH:R1_A:66248:35535,2021-09-07,LONG,True,complete_common_path
000688.SH:R1_A:66311:55288,2021-09-07,LONG,True,complete_common_path
000688.SH:R1_A:66557:66556,2021-09-08,SHORT,True,complete_common_path
000688.SH:R1_A:66635:83429,2021-09-08,SHORT,True,complete_common_path
000688.SH:R1_A:66895:66894,2021-09-09,SHORT,True,complete_common_path
000688.SH:R1_A:67011:51874,2021-09-10,SHORT,True,complete_common_path
000688.SH:R1_A:67205:39613,2021-09-13,LONG,True,complete_common_path
000688.SH:R1_A:67452:67451,2021-09-14,SHORT,True,complete_common_path
000688.SH:R1_A:67700:67699,2021-09-15,SHORT,True,complete_common_path
000688.SH:R1_A:67731:80909,2021-09-15,SHORT,True,complete_common_path
000688.SH:R1_A:67929:48748,2021-09-16,SHORT,True,complete_common_path
000688.SH:R1_A:68069:65218,2021-09-16,SHORT,True,complete_common_path
000688.SH:R1_A:68173:80668,2021-09-17,SHORT,True,complete_common_path
000688.SH:R1_A:68213:80675,2021-09-17,SHORT,True,complete_common_path
000688.SH:R1_A:68292:48361,2021-09-17,SHORT,True,complete_common_path
000688.SH:R1_A:68403:42485,2021-09-22,LONG,True,complete_common_path
000688.SH:R1_A:68643:29280,2021-09-23,LONG,True,complete_common_path
000688.SH:R1_A:68671:57897,2021-09-23,LONG,True,complete_common_path
000688.SH:R1_A:68706:57900,2021-09-23,LONG,True,complete_common_path
000688.SH:R1_A:69121:35529,2021-09-27,LONG,True,complete_common_path
000688.SH:R1_A:69143:41303,2021-09-27,LONG,True,complete_common_path
000688.SH:R1_A:69331:37438,2021-09-27,SHORT,True,complete_common_path
000688.SH:R1_A:69383:39378,2021-09-28,SHORT,True,complete_common_path
000688.SH:R1_A:69464:37318,2021-09-28,LONG,True,complete_common_path
000688.SH:R1_A:69602:47051,2021-09-29,LONG,True,complete_common_path
000688.SH:R1_A:69647:35330,2021-09-29,SHORT,True,complete_common_path
000688.SH:R1_A:69790:28739,2021-09-29,SHORT,True,complete_common_path
000688.SH:R1_A:69876:32678,2021-09-30,LONG,True,complete_common_path
000688.SH:R1_A:70231:70229,2021-10-08,LONG,True,complete_common_path
000688.SH:R1_A:70614:70613,2021-10-12,SHORT,True,complete_common_path
000688.SH:R1_A:70752:83728,2021-10-12,SHORT,True,complete_common_path
000688.SH:R1_A:70857:41818,2021-10-13,SHORT,True,complete_common_path
000688.SH:R1_A:72071:72069,2021-10-20,LONG,True,complete_common_path
000688.SH:R1_A:72246:71282,2021-10-21,LONG,True,complete_common_path
000688.SH:R1_A:72492:35301,2021-10-22,SHORT,True,complete_common_path
000688.SH:R1_A:72731:73937,2021-10-25,LONG,True,complete_common_path
000688.SH:R1_A:72998:72997,2021-10-26,LONG,True,complete_common_path
000688.SH:R1_A:73326:73323,2021-10-27,SHORT,True,complete_common_path
000688.SH:R1_A:73450:65781,2021-10-28,SHORT,True,complete_common_path
000688.SH:R1_A:73941:73940,2021-11-01,LONG,True,complete_common_path
000688.SH:R1_A:73959:70118,2021-11-01,LONG,True,complete_common_path
000688.SH:R1_A:74161:29521,2021-11-02,LONG,True,complete_common_path
000688.SH:R1_A:74231:54558,2021-11-02,LONG,True,complete_common_path
000688.SH:R1_A:74331:65218,2021-11-02,SHORT,True,complete_common_path
000688.SH:R1_A:74422:41284,2021-11-03,LONG,True,complete_common_path
000688.SH:R1_A:74453:41338,2021-11-03,LONG,True,complete_common_path
000688.SH:R1_A:74691:39418,2021-11-04,SHORT,True,complete_common_path
000688.SH:R1_A:74741:39473,2021-11-04,SHORT,True,complete_common_path
000688.SH:R1_A:74881:58567,2021-11-05,LONG,True,complete_common_path
000688.SH:R1_A:75215:75214,2021-11-08,SHORT,True,complete_common_path
000688.SH:R1_A:75615:75614,2021-11-10,SHORT,True,complete_common_path
000688.SH:R1_A:75638:80697,2021-11-10,SHORT,True,complete_common_path
000688.SH:R1_A:75660:75910,2021-11-10,LONG,True,complete_common_path
000688.SH:R1_A:75916:75915,2021-11-11,LONG,True,complete_common_path
000688.SH:R1_A:76092:58573,2021-11-12,LONG,True,complete_common_path
000688.SH:R1_A:76359:76353,2021-11-15,LONG,True,complete_common_path
000688.SH:R1_A:76486:43605,2021-11-15,LONG,True,complete_common_path
000688.SH:R1_A:76580:58566,2021-11-16,LONG,True,complete_common_path
000688.SH:R1_A:76612:80915,2021-11-16,SHORT,True,complete_common_path
000688.SH:R1_A:76823:70565,2021-11-17,SHORT,True,complete_common_path
000688.SH:R1_A:77041:70563,2021-11-18,SHORT,True,complete_common_path
000688.SH:R1_A:77349:77348,2021-11-19,LONG,True,complete_common_path
000688.SH:R1_A:77874:77873,2021-11-23,LONG,True,complete_common_path
000688.SH:R1_A:78117:78116,2021-11-24,LONG,True,complete_common_path
000688.SH:R1_A:78984:78983,2021-11-30,LONG,True,complete_common_path
000688.SH:R1_A:79483:79482,2021-12-02,SHORT,True,complete_common_path
000688.SH:R1_A:79631:46515,2021-12-02,SHORT,True,complete_common_path
000688.SH:R1_A:79721:41799,2021-12-03,SHORT,True,complete_common_path
000688.SH:R1_A:79954:41817,2021-12-06,SHORT,True,complete_common_path
000688.SH:R1_A:80165:48733,2021-12-07,SHORT,True,complete_common_path
000688.SH:R1_A:80189:40589,2021-12-07,SHORT,True,complete_common_path
000688.SH:R1_A:80284:48621,2021-12-07,SHORT,True,complete_common_path
000688.SH:R1_A:80414:41786,2021-12-08,SHORT,True,complete_common_path
000688.SH:R1_A:81378:81377,2021-12-14,LONG,True,complete_common_path
000688.SH:R1_A:81618:58565,2021-12-15,LONG,True,complete_common_path
000688.SH:R1_A:82574:82573,2021-12-21,SHORT,True,complete_common_path
000688.SH:R1_A:83432:83431,2021-12-24,SHORT,True,complete_common_path
000688.SH:R1_A:83781:83780,2021-12-28,SHORT,True,complete_common_path
000688.SH:R1_A:84002:39605,2021-12-29,SHORT,True,complete_common_path
000688.SH:R1_A:84168:36167,2021-12-29,LONG,True,complete_common_path
000688.SH:R1_A:84775:84774,2022-01-04,LONG,True,complete_common_path
000688.SH:R1_A:84974:121442,2022-01-05,LONG,True,complete_common_path
000688.SH:R1_A:85408:85407,2022-01-06,SHORT,True,complete_common_path
000688.SH:R1_A:85612:135537,2022-01-07,SHORT,True,complete_common_path
000688.SH:R1_A:85748:135675,2022-01-10,SHORT,True,complete_common_path
000688.SH:R1_A:85821:118202,2022-01-10,SHORT,True,complete_common_path
000688.SH:R1_A:85926:135849,2022-01-11,LONG,True,complete_common_path
000688.SH:R1_A:87126:87125,2022-01-18,LONG,True,complete_common_path
000688.SH:R1_A:87354:124530,2022-01-18,LONG,True,complete_common_path
000688.SH:R1_A:87389:101310,2022-01-19,LONG,True,complete_common_path
000688.SH:R1_A:87602:121446,2022-01-20,SHORT,True,complete_common_path
000688.SH:R1_A:87622:97225,2022-01-20,SHORT,True,complete_common_path
000688.SH:R1_A:87745:90840,2022-01-20,SHORT,True,complete_common_path
000688.SH:R1_A:87857:103930,2022-01-21,SHORT,True,complete_common_path
000688.SH:R1_A:88025:101488,2022-01-21,SHORT,True,complete_common_path
000688.SH:R1_A:88110:86671,2022-01-24,SHORT,True,complete_common_path
000688.SH:R1_A:88323:112810,2022-01-25,LONG,True,complete_common_path
000688.SH:R1_A:88422:135958,2022-01-25,SHORT,True,complete_common_path
000688.SH:R1_A:88513:116586,2022-01-25,SHORT,True,complete_common_path
000688.SH:R1_A:88571:105133,2022-01-26,SHORT,True,complete_common_path
000688.SH:R1_A:88612:95328,2022-01-26,SHORT,True,complete_common_path
000688.SH:R1_A:88808:136086,2022-01-27,SHORT,True,complete_common_path
000688.SH:R1_A:88853:104684,2022-01-27,SHORT,True,complete_common_path
000688.SH:R1_A:88916:101628,2022-01-27,SHORT,True,complete_common_path
000688.SH:R1_A:88990:96923,2022-01-27,SHORT,True,complete_common_path
000688.SH:R1_A:89049:104659,2022-01-28,SHORT,True,complete_common_path
000688.SH:R1_A:89082:90754,2022-01-28,SHORT,True,complete_common_path
000688.SH:R1_A:89103:112860,2022-01-28,SHORT,True,complete_common_path
000688.SH:R1_A:89328:139498,2022-02-07,LONG,True,complete_common_path
000688.SH:R1_A:89702:89701,2022-02-08,SHORT,True,complete_common_path
000688.SH:R1_A:89799:135658,2022-02-09,SHORT,True,complete_common_path
000688.SH:R1_A:89872:137141,2022-02-09,LONG,True,complete_common_path
000688.SH:R1_A:89947:125699,2022-02-09,LONG,True,complete_common_path
000688.SH:R1_A:90077:137128,2022-02-10,LONG,True,complete_common_path
000688.SH:R1_A:90274:118111,2022-02-11,SHORT,True,complete_common_path
